order_id,customer_id,customer_name,product_id,product_name,category,order_date,quantity,price,revenue,region,payment_method,order_month,order_year
ORD10002,CUST1002,Priya Verma,PROD102,Shoes,Fashion,2023-01-06,4,4465.00,17860.00,West,Cod,January  ,2023
ORD10003,CUST1003,Amit Singh,PROD103,Phone,Electronics,2023-01-07,12,3534.00,42408.00,South,Upi,January  ,2023
ORD10004,CUST1001,Rahul Sharma,PROD104,Headphones,Electronics,2023-01-10,12,869.00,10428.00,North,Credit Card,January  ,2023
ORD10005,CUST1004,Neha Gupta,PROD105,Desk,Furniture,2023-01-11,17,8926.00,151742.00,East,Debit Card,January  ,2023
ORD10065,CUST1064,Priya Verma,PROD165,Cushion,Home Decor,2023-03-12,9,9310.00,83790.00,East,Debit Card,March    ,2023
ORD10513,CUST1512,Daniel George,PROD613,Formal Shoes,Fashion,2024-06-02,11,232.00,2552.00,South,Upi,June     ,2024
ORD10514,CUST1513,Ali Khan,PROD614,Jeans,Fashion,2024-06-03,8,2280.00,18240.00,North,Credit Card,June     ,2024
ORD10538,CUST1537,Simran Kaur,PROD638,Board Game,Game,2024-06-27,8,9920.00,79360.00,South,Upi,June     ,2024
ORD10577,CUST1576,Ali Khan,PROD677,Dslr Camera,Electronics,2024-08-05,12,4505.00,54060.00,West,Cod,August   ,2024
ORD10578,CUST1577,Rajesh Yadav,PROD678,Running Shoes,Fashion,2024-08-06,3,4927.00,14781.00,South,Upi,August   ,2024
ORD11174,CUST2173,Tanya Sharma,PROD1274,Laptop Bag,Accessories,2026-03-25,7,7606.00,53242.00,North,Credit Card,March    ,2026
ORD11175,CUST2174,Priyanshu Singh,PROD1275,Bedsheet,Home Decor,2026-03-26,1,8136.00,8136.00,East,Debit Card,March    ,2026
ORD11176,CUST2175,Rohit Kumar,PROD1276,Tablet,Electronics,2026-03-27,2,2732.00,5464.00,North,Credit Card,March    ,2026
ORD11177,CUST2176,Gurpreet Singh,PROD1277,Power Bank,Electronics,2026-03-28,3,9588.00,28764.00,West,Cod,March    ,2026
ORD11178,CUST2177,Anthony Rodrigues,PROD1278,Formal Shoes,Fashion,2026-03-29,11,9874.00,108614.00,South,Upi,March    ,2026
ORD11179,CUST2178,Yash Thakur,PROD1279,Jeans,Fashion,2026-03-30,5,1977.00,9885.00,North,Credit Card,March    ,2026
ORD11180,CUST2179,Sana Khan,PROD1280,Wallet,Accessories,2026-03-31,8,2186.00,17488.00,East,Debit Card,March    ,2026
ORD11181,CUST2180,Mukesh Chauhan,PROD1281,Sofa,Furniture,2026-04-01,5,9161.00,45805.00,North,Credit Card,April    ,2026
ORD11182,CUST2181,Komal Arora,PROD1282,Microwave Oven,Home,2026-04-02,20,2447.00,48940.00,West,Cod,April    ,2026
ORD11183,CUST2182,Yash Thakur,PROD1283,Floor Lamp,Home Decor,2026-04-03,9,6754.00,60786.00,South,Upi,April    ,2026
ORD11184,CUST2183,Nikita Sharma,PROD1284,Pencil,Stationary,2026-04-04,3,7865.00,23595.00,North,Credit Card,April    ,2026
ORD12903,CUST3902,Neha Gupta,PROD3003,Sandals,Fashion,2026-04-04,14,2172.00,30408.00,South,Upi,April    ,2026
ORD13413,CUST4412,Rajesh Yadav,PROD3513,Monitor,Electronics,2026-04-04,1,7295.00,7295.00,South,Upi,April    ,2026
ORD13517,CUST4516,Manpreet Kaur,PROD3617,Shoes,Fashion,2026-04-04,1,8946.00,8946.00,West,Cod,April    ,2026
ORD13604,CUST4603,Harsh Vardhan,PROD3704,Boots,Fashion,2026-04-04,8,4309.00,34472.00,North,Credit Card,April    ,2026
ORD11350,CUST2349,Maria Fernandes,PROD1450,Curtains,Home Decor,2026-04-04,13,9124.00,118612.00,East,Debit Card,April    ,2026
ORD14797,CUST5796,Daniel George,PROD4897,Face Wash,Skin Care,2026-04-04,17,2481.00,42177.00,West,Cod,April    ,2026
ORD15012,CUST6011,Chris Fernandes,PROD5112,Toaster,Electronics,2026-04-04,7,6562.00,45934.00,West,Cod,April    ,2026
ORD15652,CUST6651,Yash Thakur,PROD5752,Face Wash,Skin Care,2026-04-04,4,9255.00,37020.00,West,Cod,April    ,2026
ORD16009,CUST7008,Amit Singh,PROD6109,Shirt,Fashion,2026-04-04,16,1570.00,25120.00,North,Credit Card,April    ,2026
ORD16493,CUST7492,Rahul Sharma,PROD6593,Teddy Bear,Toy,2026-04-04,12,435.00,5220.00,South,Upi,April    ,2026
ORD17063,CUST8062,Arjun Reddy,PROD7163,Teddy Bear,Toy,2026-04-04,10,7311.00,73110.00,South,Upi,April    ,2026
ORD17143,CUST8142,Amit Singh,PROD7243,Toy Car,Toy,2026-04-04,12,559.00,6708.00,South,Upi,April    ,2026
ORD17479,CUST8478,Yash Thakur,PROD7579,Hoodie,Fashion,2026-04-04,1,7808.00,7808.00,North,Credit Card,April    ,2026
ORD17480,CUST8479,Sana Khan,PROD7580,Sunglasses,Accessories,2026-04-04,5,1744.00,8720.00,East,Debit Card,April    ,2026
ORD17481,CUST8480,Mukesh Chauhan,PROD7581,Wardrobe,Furniture,2026-04-04,3,5877.00,17631.00,North,Credit Card,April    ,2026
ORD17482,CUST8481,Komal Arora,PROD7582,Toaster,Electronics,2026-04-04,11,9694.00,106634.00,West,Cod,April    ,2026
ORD17483,CUST8482,Yash Thakur,PROD7583,Marker,Stationary,2026-04-04,6,280.00,1680.00,South,Upi,April    ,2026
ORD17484,CUST8483,Nikita Sharma,PROD7584,Shampoo,Skin Care,2026-04-04,12,4964.00,59568.00,North,Credit Card,April    ,2026
ORD17485,CUST8484,Anjali Mehta,PROD7585,Bluetooth Headphones,Electronics,2026-04-04,7,3827.00,26789.00,East,Debit Card,April    ,2026
ORD17486,CUST8485,Manpreet Kaur,PROD7586,Mouse,Electronics,2026-04-04,2,2649.00,5298.00,North,Credit Card,April    ,2026
ORD17487,CUST8486,Kevin D'Costa,PROD7587,Heels,Fashion,2026-04-04,4,1356.00,5424.00,West,Cod,April    ,2026
ORD17488,CUST8487,Chris Fernandes,PROD7588,Sweater,Fashion,2026-04-04,10,2481.00,24810.00,South,Upi,April    ,2026
ORD17489,CUST8488,Ayesha Siddiqui,PROD7589,Cap,Fashion,2026-04-04,5,2449.00,12245.00,North,Credit Card,April    ,2026
ORD17490,CUST8489,Rekha Pandey,PROD7590,Study Table,Furniture,2026-04-04,2,7911.00,15822.00,East,Debit Card,April    ,2026
ORD17491,CUST8490,Bharath Gaur,PROD7591,Induction Cooktop,Electronics,2026-04-04,5,5051.00,25255.00,North,Credit Card,April    ,2026
ORD17492,CUST8491,Megha Saxena,PROD7592,Marker,Stationary,2026-04-04,15,8718.00,130770.00,West,Cod,April    ,2026
ORD17544,CUST8543,Mukesh Chauhan,PROD7644,Jeans,Fashion,2026-04-04,14,1353.00,18942.00,North,Credit Card,April    ,2026
ORD17545,CUST8544,Komal Arora,PROD7645,Wallet,Accessories,2026-04-04,2,231.00,462.00,East,Debit Card,April    ,2026
ORD17735,CUST8734,Yash Thakur,PROD7835,Wallet,Accessories,2026-04-04,9,8766.00,78894.00,East,Debit Card,April    ,2026
ORD17736,CUST8735,Nikita Sharma,PROD7836,Sofa,Furniture,2026-04-04,15,8089.00,121335.00,North,Credit Card,April    ,2026
ORD17520,CUST8519,Shruti Das,PROD7620,Water Bottle,Accessories,2026-04-04,12,5240.00,62880.00,East,Debit Card,April    ,2026
ORD17521,CUST8520,Amit Singh,PROD7621,Gym Dumbbells,Accessories,2026-04-04,4,644.00,2576.00,North,Credit Card,April    ,2026
ORD17522,CUST8521,Karan Malhotra,PROD7622,Perfume,Accessories,2026-04-04,17,9752.00,165784.00,West,Cod,April    ,2026
ORD17523,CUST8522,Michael D'Souza,PROD7623,Toy Car,Toy,2026-04-04,17,9055.00,153935.00,South,Upi,April    ,2026
ORD17525,CUST8524,Imran Hussain,PROD7625,Curtains,Home Decor,2026-04-04,11,5626.00,61886.00,East,Debit Card,April    ,2026
ORD17527,CUST8526,Anita Jain,PROD7627,Webcam,Electronics,2026-04-04,7,7594.00,53158.00,West,Cod,April    ,2026
ORD17528,CUST8527,Varun Dhawan,PROD7628,Sneakers,Fashion,2026-04-04,14,6621.00,92694.00,South,Upi,April    ,2026
ORD17529,CUST8528,Akash Chatterjee,PROD7629,Shirt,Fashion,2026-04-04,8,9645.00,77160.00,North,Credit Card,April    ,2026
ORD17533,CUST8532,Samuel Joseph,PROD7633,Ceiling Light,Electronics,2026-04-04,10,1062.00,10620.00,South,Upi,April    ,2026
ORD17772,CUST8771,Shruti Das,PROD7872,Heels,Fashion,2026-04-04,17,5033.00,85561.00,West,Cod,April    ,2026
ORD18312,CUST9311,Vikram Patel,PROD8412,Face Wash,Skin Care,2026-04-04,17,6864.00,116688.00,West,Cod,April    ,2026
ORD18473,CUST9472,Varun Dhawan,PROD8573,Toy Car,Toy,2026-04-04,2,2885.00,5770.00,South,Upi,April    ,2026
ORD18823,CUST9822,Amit Singh,PROD8923,Diary,Stationary,2026-04-04,11,6060.00,66660.00,South,Upi,April    ,2026
ORD18843,CUST9842,Shruti Das,PROD8943,Running Shoes,Fashion,2026-04-04,1,1979.00,1979.00,South,Upi,April    ,2026
ORD18907,CUST9906,Amit Singh,PROD9007,Toaster,Electronics,2026-04-04,10,2939.00,29390.00,West,Cod,April    ,2026
ORD19767,CUST10766,Priya Verma,PROD9867,Heels,Fashion,2026-04-04,17,5164.00,87788.00,West,Cod,April    ,2026
ORD19898,CUST10897,Arjun Reddy,PROD9998,Toy Car,Toy,2026-04-04,11,869.00,9559.00,South,Upi,April    ,2026
ORD11351,CUST2350,Imran Hussain,PROD1451,Smartphone,Electronics,2026-04-04,18,7974.00,143532.00,North,Credit Card,April    ,2026
ORD20262,CUST11261,Rekha Pandey,PROD10362,Shoes,Fashion,2026-04-04,6,2594.00,15564.00,West,Cod,April    ,2026
ORD20468,CUST11467,Ali Khan,PROD10568,Toy Car,Toy,2026-04-04,5,6430.00,32150.00,South,Upi,April    ,2026
ORD20907,CUST11906,John Mathew,PROD11007,Heels,Fashion,2026-04-04,3,312.00,936.00,West,Cod,April    ,2026
ORD21678,CUST12677,Shruti Das,PROD11778,Monitor,Electronics,2026-04-04,9,2108.00,18972.00,South,Upi,April    ,2026
ORD21782,CUST12781,Rahul Sharma,PROD11882,Shoes,Fashion,2026-04-04,6,8501.00,51006.00,West,Cod,April    ,2026
ORD11352,CUST2351,Deepak Tiwari,PROD1452,Webcam,Electronics,2026-04-04,17,4542.00,77214.00,West,Cod,April    ,2026
ORD21968,CUST12967,Paul Joseph,PROD12068,Saree,Fashion,2026-04-04,4,4504.00,18016.00,South,Upi,April    ,2026
ORD22498,CUST13497,Amit Singh,PROD12598,Sandals,Fashion,2026-04-04,8,6441.00,51528.00,South,Upi,April    ,2026
ORD22668,CUST13667,Neha Gupta,PROD12768,Teddy Bear,Toy,2026-04-04,17,997.00,16949.00,South,Upi,April    ,2026
ORD22910,CUST13909,Megha Saxena,PROD13010,Heels,Fashion,2026-04-04,8,6672.00,53376.00,East,Debit Card,April    ,2026
ORD23373,CUST14372,David Thomas,PROD13473,Marker,Stationary,2026-04-04,8,1082.00,8656.00,South,Upi,April    ,2026
ORD23603,CUST14602,Megha Saxena,PROD13703,Toy Car,Toy,2026-04-04,7,1675.00,11725.00,South,Upi,April    ,2026
ORD24063,CUST15062,Aditya Roy,PROD14163,Phone,Electronics,2026-04-04,14,4471.00,62594.00,South,Upi,April    ,2026
ORD24252,CUST15251,Aditya Roy,PROD14352,Shoes,Fashion,2026-04-04,16,5003.00,80048.00,West,Cod,April    ,2026
ORD25883,CUST16882,Arjun Reddy,PROD15983,Toy Car,Toy,2026-04-04,17,5051.00,85867.00,South,Upi,April    ,2026
ORD11353,CUST2352,Anita Jain,PROD1453,Sneakers,Fashion,2026-04-04,20,8904.00,178080.00,South,Upi,April    ,2026
ORD26517,CUST17516,Rajesh Yadav,PROD16617,Marker,Stationary,2026-04-04,1,8846.00,8846.00,West,Cod,April    ,2026
ORD26943,CUST17942,Vikram Patel,PROD17043,Teddy Bear,Toy,2026-04-04,5,829.00,4145.00,South,Upi,April    ,2026
ORD27647,CUST18646,Arjun Reddy,PROD17747,Toaster,Electronics,2026-04-04,4,693.00,2772.00,West,Cod,April    ,2026
ORD28637,CUST19636,Manpreet Kaur,PROD18737,Perfume,Accessories,2026-04-04,15,8849.00,132735.00,West,Cod,April    ,2026
ORD28903,CUST19902,Amit Singh,PROD19003,Saree,Fashion,2026-04-04,2,6555.00,13110.00,South,Upi,April    ,2026
