order_id,customer_id,customer_name,product_id,product_name,category,order_date,quantity,price,revenue,region,payment_method,order_month,order_year,customer_id,recency,frequency,monetary,r_score,f_score,m_score,customer_segment
ORD10002,CUST1002,Priya Verma,PROD102,Shoes,Fashion,1/6/2023,4,4465,17860,West,Cod,January  ,2023,CUST1002,1185,1,17860,1,2,2,At Risk
ORD10003,CUST1003,Amit Singh,PROD103,Phone,Electronics,1/7/2023,12,3534,42408,South,Upi,January  ,2023,CUST1003,1184,1,42408,1,3,3,Others
ORD10004,CUST1001,Rahul Sharma,PROD104,Headphones,Electronics,1/10/2023,12,869,10428,North,Credit Card,January  ,2023,CUST1001,1181,2,15183,1,5,2,Others
ORD10005,CUST1004,Neha Gupta,PROD105,Desk,Furniture,1/11/2023,17,8926,151742,East,Debit Card,January  ,2023,CUST1004,1180,1,151742,1,5,5,Others
ORD10065,CUST1064,Priya Verma,PROD165,Cushion,Home Decor,3/12/2023,9,9310,83790,East,Debit Card,March    ,2023,CUST1005,1179,1,13131,1,2,2,At Risk
ORD10513,CUST1512,Daniel George,PROD613,Formal Shoes,Fashion,6/2/2024,11,232,2552,South,Upi,June     ,2024,CUST1006,1178,1,6492,1,1,1,At Risk
ORD10514,CUST1513,Ali Khan,PROD614,Jeans,Fashion,6/3/2024,8,2280,18240,North,Credit Card,June     ,2024,CUST1007,1177,1,19266,1,2,2,At Risk
ORD10538,CUST1537,Simran Kaur,PROD638,Board Game,Game,6/27/2024,8,9920,79360,South,Upi,June     ,2024,CUST1008,1176,1,41544,1,3,3,Others
ORD10577,CUST1576,Ali Khan,PROD677,Dslr Camera,Electronics,8/5/2024,12,4505,54060,West,Cod,August   ,2024,CUST1009,1175,1,18228,1,2,2,At Risk
ORD10578,CUST1577,Rajesh Yadav,PROD678,Running Shoes,Fashion,8/6/2024,3,4927,14781,South,Upi,August   ,2024,CUST1010,1174,1,63910,1,4,4,Others
ORD11174,CUST2173,Tanya Sharma,PROD1274,Laptop Bag,Accessories,3/25/2026,7,7606,53242,North,Credit Card,March    ,2026,CUST1011,1173,1,1253,1,1,1,At Risk
ORD11175,CUST2174,Priyanshu Singh,PROD1275,Bedsheet,Home Decor,3/26/2026,1,8136,8136,East,Debit Card,March    ,2026,CUST1012,1172,1,88671,1,4,4,Others
ORD11176,CUST2175,Rohit Kumar,PROD1276,Tablet,Electronics,3/27/2026,2,2732,5464,North,Credit Card,March    ,2026,CUST1013,1171,1,21868,1,2,2,At Risk
ORD11177,CUST2176,Gurpreet Singh,PROD1277,Power Bank,Electronics,3/28/2026,3,9588,28764,West,Cod,March    ,2026,CUST1014,1170,1,41342,1,3,3,Others
ORD11178,CUST2177,Anthony Rodrigues,PROD1278,Formal Shoes,Fashion,3/29/2026,11,9874,108614,South,Upi,March    ,2026,CUST1015,1169,1,92162,1,4,4,Others
ORD11179,CUST2178,Yash Thakur,PROD1279,Jeans,Fashion,3/30/2026,5,1977,9885,North,Credit Card,March    ,2026,CUST1016,1168,1,1776,1,1,1,At Risk
ORD11180,CUST2179,Sana Khan,PROD1280,Wallet,Accessories,3/31/2026,8,2186,17488,East,Debit Card,March    ,2026,CUST1017,1167,1,11850,1,1,1,At Risk
ORD11181,CUST2180,Mukesh Chauhan,PROD1281,Sofa,Furniture,4/1/2026,5,9161,45805,North,Credit Card,April    ,2026,CUST1018,1166,1,54096,1,3,3,Others
ORD11182,CUST2181,Komal Arora,PROD1282,Microwave Oven,Home,4/2/2026,20,2447,48940,West,Cod,April    ,2026,CUST1019,1165,1,17745,1,2,2,At Risk
ORD11183,CUST2182,Yash Thakur,PROD1283,Floor Lamp,Home Decor,4/3/2026,9,6754,60786,South,Upi,April    ,2026,CUST1020,1164,1,31297,1,3,3,Others
ORD11184,CUST2183,Nikita Sharma,PROD1284,Pencil,Stationary,4/4/2026,3,7865,23595,North,Credit Card,April    ,2026,CUST1021,1163,1,6385,1,1,1,At Risk
ORD12903,CUST3902,Neha Gupta,PROD3003,Sandals,Fashion,4/4/2026,14,2172,30408,South,Upi,April    ,2026,CUST1023,1161,1,30200,1,3,3,Others
ORD13413,CUST4412,Rajesh Yadav,PROD3513,Monitor,Electronics,4/4/2026,1,7295,7295,South,Upi,April    ,2026,CUST1024,1160,1,90448,1,4,4,Others
ORD13517,CUST4516,Manpreet Kaur,PROD3617,Shoes,Fashion,4/4/2026,1,8946,8946,West,Cod,April    ,2026,CUST1025,1159,1,4884,1,1,1,At Risk
ORD13604,CUST4603,Harsh Vardhan,PROD3704,Boots,Fashion,4/4/2026,8,4309,34472,North,Credit Card,April    ,2026,CUST1026,1158,1,57885,1,4,4,Others
ORD11350,CUST2349,Maria Fernandes,PROD1450,Curtains,Home Decor,4/4/2026,13,9124,118612,East,Debit Card,April    ,2026,CUST1027,1157,1,87810,1,4,4,Others
ORD14797,CUST5796,Daniel George,PROD4897,Face Wash,Skin Care,4/4/2026,17,2481,42177,West,Cod,April    ,2026,CUST1028,1156,1,73692,1,4,4,Others
ORD15012,CUST6011,Chris Fernandes,PROD5112,Toaster,Electronics,4/4/2026,7,6562,45934,West,Cod,April    ,2026,CUST1029,1155,1,130340,1,5,5,Others
ORD15652,CUST6651,Yash Thakur,PROD5752,Face Wash,Skin Care,4/4/2026,4,9255,37020,West,Cod,April    ,2026,CUST1030,1154,1,46319,1,3,3,Others
ORD16009,CUST7008,Amit Singh,PROD6109,Shirt,Fashion,4/4/2026,16,1570,25120,North,Credit Card,April    ,2026,CUST1031,1153,1,12036,1,1,1,At Risk
ORD16493,CUST7492,Rahul Sharma,PROD6593,Teddy Bear,Toy,4/4/2026,12,435,5220,South,Upi,April    ,2026,CUST1032,1152,1,15914,1,2,2,At Risk
ORD17063,CUST8062,Arjun Reddy,PROD7163,Teddy Bear,Toy,4/4/2026,10,7311,73110,South,Upi,April    ,2026,CUST1033,1151,1,176180,1,5,5,Others
ORD17143,CUST8142,Amit Singh,PROD7243,Toy Car,Toy,4/4/2026,12,559,6708,South,Upi,April    ,2026,CUST1035,1149,1,31815,1,3,3,Others
ORD17479,CUST8478,Yash Thakur,PROD7579,Hoodie,Fashion,4/4/2026,1,7808,7808,North,Credit Card,April    ,2026,CUST1036,1148,1,25900,1,2,2,At Risk
ORD17480,CUST8479,Sana Khan,PROD7580,Sunglasses,Accessories,4/4/2026,5,1744,8720,East,Debit Card,April    ,2026,CUST1037,1147,1,13911,1,2,2,At Risk
ORD17481,CUST8480,Mukesh Chauhan,PROD7581,Wardrobe,Furniture,4/4/2026,3,5877,17631,North,Credit Card,April    ,2026,CUST1038,1146,1,47260,1,3,3,Others
