order_id,customer_id,customer_name,product_id,product_name,category,order_date,quantity,price,amount,Region,payment_method
ORD10001,CUST1001,Rahul Sharma,PROD101,Laptop,Electronics,1/5/2023,-15,4755,57060,North,Credit Card
ORD10002,CUST1002,Priya Verma,PROD102,Shoes,Fashion,1/6/2023,4,4465,17860,West,COD
ORD10003,CUST1003,Amit Singh,PROD103,Phone,Electronics,1/7/2023,12,3534,42408,South,UPI
ORD10004,CUST1001,Rahul Sharma,PROD104,Headphones,Electronics,1/10/2023,12,869,10428,North,Credit Card
ORD10005,CUST1004,Neha Gupta,PROD105,Desk,Furniture,1/11/2023,17,8926,151742,East,Debit Card
ORD10006,CUST1005,Rahul Sharma,PROD106,Laptop,Electronics,1/12/2023,3,4377,13131,North,Credit Card
ORD10007,CUST1006,Arjun Reddy,PROD107,DSLR Camera,Electronics,1/13/2023,-5,6492,64920,West,COD
ORD10008,CUST1007,John Mathew,PROD108,Running Shoes,Fashion,1/14/2023,3,6422,19266,South,UPI
ORD10009,CUST1008,Daniel George,PROD109,T-Shirt,Fashion,1/15/2023,9,4616,41544,North,Credit Card
ORD10010,CUST1009,Ali Khan,PROD110,Handbag,Accessories,1/16/2023,4,4557,18228,East,Debit Card
ORD10011,CUST1010,Rajesh Yadav,PROD111,Dining Table,Furniture,1/17/2023,10,6391,63910,North,Credit Card
ORD10012,CUST1011,Ramesh Gupta,PROD112,Coffee Maker,Electronics,1/18/2023,-4,1253,22554,West,COD
ORD10013,CUST1012,Harsh Vardhan,PROD113,Table Lamp,Home Decor,1/19/2023,11,8061,88671,South,UPI
ORD10014,CUST1013,Aditya Roy,PROD114,Notebook,Stationary,1/20/2023,11,1988,21868,North,Credit Card
ORD10015,CUST1014,Priya Verma,PROD115,Water Bottle,Accessories,1/21/2023,14,2953,41342,East,Debit Card
ORD10016,CUST1015,Sneha Iyer,PROD116,Gym Dumbbells,Accessories,1/22/2023,14,6583,92162,North,Credit Card
ORD10017,CUST1016,David Thomas,PROD117,Perfume,Accessories,1/23/2023,-9,1776,8880,West,COD
ORD10018,CUST1017,Rachel D'Silva,PROD118,Toy Car,Toy,1/24/2023,2,5925,11850,South,UPI
ORD10019,CUST1018,Omar Sheikh,PROD119,Mobile Charger,Electronics,1/25/2023,8,6762,54096,North,Credit Card
ORD10020,CUST1019,Sunita Mishra,PROD120,Curtains,Home Decor,1/26/2023,7,2535,17745,East,Debit Card
ORD10021,CUST1020,Suresh Agarwal,PROD121,Smartphone,Electronics,1/27/2023,17,1841,31297,North,Credit Card
ORD10022,CUST1021,Ritika Kapoor,PROD122,Webcam,Electronics,1/28/2023,5,1277,6385,West,COD
ORD10023,,Shruti Das,PROD123,Sneakers,Fashion,1/29/2023,7,6091,42637,South,UPI
ORD10024,CUST1023,Amit Singh,PROD124,Shirt,Fashion,1/30/2023,8,3775,30200,North,Credit Card
ORD10025,CUST1024,Karan Malhotra,PROD125,Backpack,Accessories,1/31/2023,16,5653,90448,East,Debit Card
ORD10026,CUST1025,Michael D'Souza,PROD126,Office Chair,Home Decor,2/1/2023,2,2442,4884,North,Credit Card
ORD10027,CUST1026,Maria Fernandes,PROD127,Blender,Electronics,2/2/2023,15,3859,57885,West,COD
ORD10028,CUST1027,Imran Hussain,PROD128,Ceiling Light,Electronics,2/3/2023,10,8781,87810,South,UPI
ORD10029,CUST1028,Deepak Tiwari,PROD129,Pen,Stationary,2/4/2023,9,8188,73692,North,Credit Card
ORD10030,CUST1029,Anita Jain,PROD130,Lunch Box,Home ,2/5/2023,19,6860,130340,East,Debit Card
ORD10031,CUST1030,Varun Dhawan,PROD131,Yoga Mat,Accessories,2/6/2023,13,3563,46319,North,Credit Card
ORD10032,CUST1031,Akash Chatterjee,PROD132,Deodorant,Accessories,2/7/2023,3,4012,12036,West,COD
ORD10033,CUST1032,Neha Gupta,PROD133,Teddy Bear,Toy,2/8/2023,2,7957,15914,South,UPI
ORD10034,CUST1033,Simran Kaur,PROD134,Laptop Bag,Accessories,2/9/2023,20,8809,176180,North,Credit Card
ORD10035,,Chris Fernandes,PROD135,Bedsheet,Home Decor,2/10/2023,11,5451,59961,East,Debit Card
ORD10036,CUST1035,Samuel Joseph,PROD136,Tablet,Electronics,2/11/2023,5,6363,31815,North,Credit Card
ORD10037,CUST1036,Faizan Ansari,PROD137,Power Bank,Electronics,2/12/2023,10,2590,25900,West,COD
ORD10038,CUST1037,Kavita Shukla,PROD138,Formal Shoes,Fashion,2/13/2023,3,4637,13911,South,UPI
ORD10039,CUST1038,Nitin Bansal,PROD139,Jeans,Fashion,2/14/2023,17,2780,47260,North,Credit Card
ORD10040,CUST1039,Tanya Sharma,PROD140,Wallet,Accessories,2/15/2023,7,4677,32739,East,Debit Card
ORD10041,CUST1040,Priyanshu Singh,PROD141,Sofa,Furniture,2/16/2023,9,4899,44091,North,Credit Card
ORD10042,CUST1041,Rohit Kumar,PROD142,Microwave Oven,Home,2/17/2023,1,5140,5140,West,COD
ORD10043,CUST1042,Gurpreet Singh,PROD143,Floor Lamp,Home Decor,2/18/2023,11,4596,50556,South,UPI
ORD10044,CUST1043,Anthony Rodrigues,PROD144,Pencil,Stationary,2/19/2023,16,8379,134064,North,Credit Card
ORD10045,CUST1044,Yash Thakur,PROD145,Travel Mug,Accessories,2/20/2023,3,1252,3756,East,Debit Card
ORD10046,,,PROD146,Skipping Rope,Accessories,2/21/2023,17,5722,97274,North,Credit Card
ORD10047,CUST1046,Mukesh Chauhan,PROD147,Face Wash,Skin Care,2/22/2023,16,1581,25296,West,COD
ORD10048,CUST1047,Komal Arora,PROD148,Puzzle Game,Game,2/23/2023,20,970,19400,South,UPI
ORD10049,CUST1048,Yash Thakur,PROD149,Screen Protector,Electronics,2/24/2023,15,7077,106155,North,Credit Card
ORD10050,CUST1049,Nikita Sharma,PROD150,Pillow,Home Decor,2/25/2023,3,5999,17997,East,Debit Card
ORD10051,CUST1050,Anjali Mehta,PROD151,Gaming Console,Electronics,2/26/2023,16,9176,146816,North,Credit Card
ORD10052,CUST1051,Manpreet Kaur,PROD152,USB Cable,Electronics,2/27/2023,17,8490,144330,West,COD
ORD10053,CUST1052,Kevin D'Costa,PROD153,Sandals,Fashion,2/28/2023,9,2169,19521,South,UPI
ORD10054,CUST1053,Chris Fernandes,PROD154,Jacket,Fashion,3/1/2023,3,718,2154,North,Credit Card
ORD10055,CUST1054,Ayesha Siddiqui,PROD155,Belt,Accessories,3/2/2023,17,2197,37349,East,Debit Card
ORD10056,CUST1055,Rekha Pandey,PROD156,Set Bed,Home Decor,3/3/2023,1,8131,8131,North,Credit Card
ORD10057,CUST1056,Bharath Gaur,PROD157,Electric Kettle,Electronics,3/4/2023,8,8701,69608,West,COD
ORD10058,CUST1057,,PROD158,LED Bulb,Electronics,3/5/2023,13,7787,101231,South,UPI
ORD10059,CUST1058,Vikram Patel,PROD159,Eraser,Stationary,3/6/2023,15,6334,95010,North,Credit Card
ORD10060,CUST1059,Harpreet Singh,PROD160,Thermos,Home,3/7/2023,9,5596,50364,East,Debit Card
ORD10061,CUST1060,Paul Joseph,PROD161,Treadmill,Accessories,3/8/2023,4,6555,26220,North,Credit Card
ORD10062,CUST1061,Pooja Joshi,PROD162,Moisturizer,Skin Care,3/9/2023,3,3971,11913,West,COD
ORD10063,CUST1062,Jasleen Kaur,PROD163,Board Game,Game,3/10/2023,14,7655,107170,South,UPI
ORD10064,CUST1063,Rahul Sharma,PROD164,Phone Case,Accessories,3/11/2023,1,4299,4299,North,Credit Card
ORD10065,CUST1064,Priya Verma,PROD165,Cushion,Home Decor,3/12/2023,9,9310,83790,East,Debit Card
